"KPI","Date","Region","Country Code","Market","Brand","Segment","Series","Model Range","Drivetrain Category","Model Code","Value Actual","Benchmark"
"Retail - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","X1","U11","NON-BEV","11EF",,37
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","UKL2+","X1","U11","NON-BEV","11EF",,1
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,13
"Retail - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,2
"Retail - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,
"Retail - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EF",,
"Retail - All","2026-06-01 00:00:00","C3","KR","KOREA","BMW","UKL2+","X1","U11","NON-BEV","11EF",,9
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","X1","U11","NON-BEV","11EG",,5
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","X1","U11","NON-BEV","11EG",,13
"Order Intake - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","UKL2+","X1","U11","NON-BEV","11EG",,8
"Order Intake - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EG",,5
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","X1","U11","NON-BEV","11EG",81,68
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","X1","U11","NON-BEV","11EG",,88
"Order Intake - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","X1","U11","NON-BEV","11EG",,105
"Order Intake - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EG",,18
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","X1","U11","NON-BEV","11EG",,817
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EG",,34
"Order Intake - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EG",,1
"Order Intake - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EG",,10
"Order Intake - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EG",,1
